Month,Value
2004-01,9.0
2004-02,9.0
2004-03,20.0
2004-04,15.0
2004-05,13.0
2004-06,8.0
2004-07,12.0
2004-08,23.0
2004-09,52.0
2004-10,100.0
2004-11,26.0
2004-12,17.0
2005-01,15.0
2005-02,15.0
2005-03,23.0
2005-04,26.0
2005-05,31.0
2005-06,35.0
2005-07,28.0
2005-08,74.0
2005-09,88.0
2005-10,56.0
2005-11,23.0
2005-12,12.0
2006-01,10.0
2006-02,10.0
2006-03,13.0
2006-04,11.0
2006-05,11.0
2006-06,11.0
2006-07,7.0
2006-08,6.0
2006-09,7.0
2006-10,8.0
2006-11,7.0
2006-12,6.0
2007-01,11.0
2007-02,18.0
2007-03,22.0
2007-04,16.0
2007-05,14.0
2007-06,14.0
2007-07,13.0
2007-08,69.0
2007-09,39.0
2007-10,20.0
2007-11,12.0
2007-12,9.0
2008-01,10.0
2008-02,13.0
2008-03,32.0
2008-04,50.0
2008-05,33.0
2008-06,10.0
2008-07,7.0
2008-08,7.0
2008-09,6.0
2008-10,9.0
2008-11,8.0
2008-12,8.0
2009-01,16.0
2009-02,23.0
2009-03,20.0
2009-04,29.0
2009-05,25.0
2009-06,11.0
2009-07,9.0
2009-08,10.0
2009-09,9.0
2009-10,9.0
2009-11,9.0
2009-12,8.0
2010-01,11.0
2010-02,16.0
2010-03,25.0
2010-04,31.0
2010-05,29.0
2010-06,11.0
2010-07,9.0
2010-08,8.0
2010-09,7.0
2010-10,6.0
2010-11,8.0
2010-12,8.0
2011-01,12.0
2011-02,18.0
2011-03,30.0
2011-04,27.0
2011-05,18.0
2011-06,10.0
2011-07,7.0
2011-08,7.0
2011-09,7.0
2011-10,8.0
2011-11,6.0
2011-12,6.0
2012-01,9.0
2012-02,11.0
2012-03,17.0
2012-04,16.0
2012-05,20.0
2012-06,29.0
2012-07,25.0
2012-08,7.0
2012-09,6.0
2012-10,7.0
2012-11,9.0
2012-12,7.0
2013-01,9.0
2013-02,6.0
2013-03,11.0
2013-04,19.0
2013-05,14.0
2013-06,12.0
2013-07,18.0
2013-08,6.0
2013-09,6.0
2013-10,5.0
2013-11,6.0
2013-12,8.0
2014-01,5.0
2014-02,7.0
2014-03,16.0
2014-04,28.0
2014-05,9.0
2014-06,5.0
2014-07,7.0
2014-08,5.0
2014-09,4.0
2014-10,5.0
2014-11,5.0
2014-12,5.0
2015-01,8.0
2015-02,11.0
2015-03,21.0
2015-04,22.0
2015-05,11.0
2015-06,6.0
2015-07,6.0
2015-08,9.0
2015-09,16.0
2015-10,22.0
2015-11,6.0
2015-12,7.0
2016-01,6.0
2016-02,8.0
2016-03,10.0
2016-04,7.0
2016-05,5.0
2016-06,4.0
2016-07,5.0
2016-08,16.0
2016-09,23.0
2016-10,5.0
2016-11,4.0
2016-12,3.0
2017-01,4.0
2017-02,8.0
2017-03,27.0
2017-04,44.0
2017-05,8.0
2017-06,4.0
2017-07,4.0
2017-08,4.0
2017-09,4.0
2017-10,3.0
2017-11,6.0
2017-12,9.0
2018-01,5.0
2018-02,4.0
2018-03,5.0
2018-04,9.0
2018-05,10.0
2018-06,6.0
2018-07,17.0
2018-08,32.0
2018-09,16.0
2018-10,4.0
2018-11,5.0
2018-12,4.0
2019-01,4.0
2019-02,3.0
2019-03,4.0
2019-04,4.0
2019-05,4.0
2019-06,4.0
2019-07,4.0
2019-08,6.0
2019-09,2.0
2019-10,2.0
2019-11,5.0
2019-12,3.0
2020-01,3.0
2020-02,3.0
2020-03,3.0
2020-04,3.0
2020-05,4.0
2020-06,7.0
2020-07,19.0
2020-08,12.0
2020-09,16.0
2020-10,5.0
2020-11,3.0
2020-12,2.0
2021-01,2.0
2021-02,3.0
2021-03,4.0
2021-04,3.0
2021-05,4.0
2021-06,14.0
2021-07,2.0
2021-08,1.0
2021-09,1.0
2021-10,2.0
2021-11,3.0
2021-12,5.0
2022-01,10.0
2022-02,19.0
2022-03,8.0
2022-04,6.0
2022-05,3.0
2022-06,2.0
2022-07,2.0
2022-08,2.0
2022-09,2.0
2022-10,2.0
2022-11,4.0
2022-12,5.0
2023-01,3.0
2023-02,4.0
2023-03,4.0
2023-04,4.0
2023-05,9.0
2023-06,17.0
2023-07,14.0
2023-08,7.0
2023-09,4.0
2023-10,4.0
2023-11,3.0
2023-12,3.0
2024-01,5.0
2024-02,3.0
2024-03,3.0
2024-04,5.0
2024-05,17.0
2024-06,21.0
2024-07,6.0
2024-08,6.0
2024-09,5.0
2024-10,4.0
2024-11,3.0
2024-12,2.0
2025-01,3.0
2025-02,2.0
2025-03,4.0
2025-04,3.0
2025-05,4.0
2025-06,4.0
2025-07,14.0
2025-08,15.0
2025-09,5.0
2025-10,4.0
2025-11,4.0
2025-12,2.0
2026-01,4.0
2026-02,4.0
2026-03,3.0
2026-04,3.0
