Month,Value
2022-01,95.0
2022-02,100.0
2022-03,89.0
2022-04,89.0
2022-05,90.0
2022-06,91.0
2022-07,79.0
2022-08,78.0
2022-09,76.0
2022-10,65.0
2022-11,70.0
2022-12,59.0
2023-01,74.0
2023-02,80.0
2023-03,74.0
2023-04,71.0
2023-05,74.0
2023-06,93.0
2023-07,69.0
2023-08,79.0
2023-09,73.0
2023-10,75.0
2023-11,64.0
2023-12,59.0
2024-01,65.0
2024-02,70.0
2024-03,66.0
2024-04,81.0
2024-05,86.0
2024-06,96.0
2024-07,93.0
2024-08,95.0
2024-09,72.0
2024-10,82.0
2024-11,73.0
2024-12,78.0
2025-01,69.0
2025-02,82.0
2025-03,85.0
2025-04,96.0
2025-05,88.0
2025-06,89.0
2025-07,84.0
2025-08,78.0
2025-09,86.0
2025-10,80.0
2025-11,60.0
2025-12,50.0
2026-01,72.0
2026-02,60.0
2026-03,71.0
2026-04,69.0
