Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,0.0
2008-06,0.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,0.0
2009-04,0.0
2009-05,0.0
2009-06,0.0
2009-07,0.0
2009-08,26.0
2009-09,0.0
2009-10,0.0
2009-11,0.0
2009-12,28.0
2010-01,26.0
2010-02,0.0
2010-03,0.0
2010-04,0.0
2010-05,0.0
2010-06,0.0
2010-07,0.0
2010-08,0.0
2010-09,0.0
2010-10,0.0
2010-11,26.0
2010-12,0.0
2011-01,18.0
2011-02,18.0
2011-03,14.0
2011-04,24.0
2011-05,19.0
2011-06,23.0
2011-07,18.0
2011-08,21.0
2011-09,15.0
2011-10,18.0
2011-11,9.0
2011-12,18.0
2012-01,17.0
2012-02,18.0
2012-03,17.0
2012-04,22.0
2012-05,21.0
2012-06,22.0
2012-07,13.0
2012-08,20.0
2012-09,18.0
2012-10,25.0
2012-11,21.0
2012-12,18.0
2013-01,24.0
2013-02,17.0
2013-03,22.0
2013-04,22.0
2013-05,20.0
2013-06,25.0
2013-07,25.0
2013-08,27.0
2013-09,21.0
2013-10,25.0
2013-11,18.0
2013-12,23.0
2014-01,28.0
2014-02,24.0
2014-03,29.0
2014-04,29.0
2014-05,31.0
2014-06,31.0
2014-07,31.0
2014-08,34.0
2014-09,28.0
2014-10,27.0
2014-11,28.0
2014-12,23.0
2015-01,30.0
2015-02,31.0
2015-03,31.0
2015-04,24.0
2015-05,30.0
2015-06,36.0
2015-07,44.0
2015-08,39.0
2015-09,36.0
2015-10,35.0
2015-11,38.0
2015-12,32.0
2016-01,30.0
2016-02,36.0
2016-03,36.0
2016-04,37.0
2016-05,39.0
2016-06,36.0
2016-07,49.0
2016-08,32.0
2016-09,36.0
2016-10,26.0
2016-11,36.0
2016-12,32.0
2017-01,35.0
2017-02,33.0
2017-03,37.0
2017-04,32.0
2017-05,36.0
2017-06,38.0
2017-07,48.0
2017-08,42.0
2017-09,39.0
2017-10,35.0
2017-11,34.0
2017-12,30.0
2018-01,42.0
2018-02,27.0
2018-03,32.0
2018-04,34.0
2018-05,34.0
2018-06,38.0
2018-07,39.0
2018-08,32.0
2018-09,37.0
2018-10,39.0
2018-11,30.0
2018-12,28.0
2019-01,26.0
2019-02,29.0
2019-03,31.0
2019-04,34.0
2019-05,41.0
2019-06,34.0
2019-07,29.0
2019-08,32.0
2019-09,32.0
2019-10,25.0
2019-11,25.0
2019-12,28.0
2020-01,25.0
2020-02,25.0
2020-03,22.0
2020-04,45.0
2020-05,37.0
2020-06,34.0
2020-07,33.0
2020-08,31.0
2020-09,37.0
2020-10,36.0
2020-11,35.0
2020-12,23.0
2021-01,37.0
2021-02,30.0
2021-03,34.0
2021-04,27.0
2021-05,37.0
2021-06,35.0
2021-07,35.0
2021-08,65.0
2021-09,57.0
2021-10,60.0
2021-11,41.0
2021-12,53.0
2022-01,81.0
2022-02,100.0
2022-03,85.0
2022-04,36.0
2022-05,38.0
2022-06,47.0
2022-07,54.0
2022-08,51.0
2022-09,67.0
2022-10,37.0
2022-11,46.0
2022-12,43.0
2023-01,55.0
2023-02,67.0
2023-03,44.0
2023-04,26.0
2023-05,32.0
2023-06,44.0
2023-07,54.0
2023-08,41.0
2023-09,52.0
2023-10,30.0
2023-11,32.0
2023-12,33.0
2024-01,42.0
2024-02,64.0
2024-03,37.0
2024-04,27.0
2024-05,25.0
2024-06,27.0
2024-07,34.0
2024-08,40.0
2024-09,46.0
2024-10,22.0
2024-11,26.0
2024-12,26.0
2025-01,27.0
2025-02,38.0
2025-03,24.0
2025-04,16.0
2025-05,21.0
2025-06,28.0
2025-07,31.0
2025-08,42.0
2025-09,52.0
2025-10,36.0
2025-11,45.0
2025-12,42.0
2026-01,49.0
2026-02,58.0
2026-03,49.0
2026-04,47.0
