Case_ID,Scope,Execution_Status,Diagnostic_Status,Quality_Status,Geo_Support_N,Geo_Support_Total,Coverage_Status,MA3_Endpoint_Provisional
TP129,REG_ISAN5,SUCCESS,REJECTED,REVIEW,5,5,FULL,TRUE
FP014,TH-30,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP019,TH-30,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP038,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU014,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU015,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU018,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TU068,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP109,TH-30,FALLBACK,NOT_AVAILABLE,REVIEW,1,1,FULL,TRUE
FP118,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP301,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP306,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP317,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP321,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP331,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU064,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU078,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF03,TH-30,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
TPF02,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TUF01,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TUF02,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NPF01,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF05,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF08,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF09,TH-30,SUCCESS,CONDITIONALLY ACCEPTED,REVIEW,1,1,FULL,TRUE
NP061,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP510,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP607,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NP081,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP511,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP512,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TP129,TH-30,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP014,TH-31,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP019,TH-31,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP038,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU014,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU015,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU018,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TU068,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP109,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP118,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP301,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP306,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP317,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP321,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP331,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU064,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU078,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF03,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TPF02,TH-31,FALLBACK,NOT_AVAILABLE,REVIEW,1,1,FULL,TRUE
